label,text
negative,"Jangan undi dacing, jangan undi bulan."
positive,Saya nampak kawasan ini berpotensi besar dan saya fikir tumpuan yang kerajaan negeri berikan pada pelancongan desa di sini langkah yang betul.
positive,Kami akan memastikan bahawa kebajikan pekerja dari Kemboja dilindungi
positive,Begitu juga dengan keperluan dan kapakaran di hospital yang mana penting untuk penduduk tempatan dan pelancong sekiranya berlaku kecemasan.
negative,"Berdasarkan statistik Pasukan Tindak Balas Kecemasan Komputer Malaysia (MyCERT), sebanyak 7,962 kes ancaman siber dilaporkan sepanjang tahun lalu"
positive,Saya amat pasti dan menggunakan pertimbangan sewajarnya ketika menulis kenyataan tersebut
positive,Saya sudah mengarahkan Ketua Pengarah Imigresen (Datuk Seri Mustafar Ali) untuk meletakkan anggota bagi melakukan imbasan secara rawak.
positive,memberikan motivasi yang lebih tinggi untuk membekalkan warga Malaysia dengan nutrisi yang lebih baik yang boleh diperolehi daripada susu
negative,Ini semua rancangan rangkaian dedak teratur yang cuba kelirukan rakyat dan burukkan Bersatu
positive,Bagus untuk generasi sekarang kerana kemudahan Internet sudah jadi keperluan
positive,"Bagi merungkai polemik berkaitan pilihan raya dengan berkesan, cekap dan beretika, penerokaan potensi teknologi perlu diberi keutamaan"
negative,Sentimen Mahathir di Langkawi masih kuat.
positive,"Bagaimanapun, dengan ketekunan, proses pelaburan yang mantap dan kompeten serta pengurus yang profesional, KWSP mampu memperoleh pulangan pelaburan yang baik"
positive,"Pilihan raya dapat dilaksanakan dengan lebih murah, mudah dan cekap, malah keputusannya boleh diprogramkan dan dicapai secara langsung"
positive,banyak lagi boleh di senaraikan tentang kejayaan asean
negative,Boikot tidak akan bermakna kerana eksport Malaysia ke EU tidak cukup signifikan
positive,membidas para pemimpin pembangkang yang gagal hadir sesi penerangan beliau walaupun dianjurkan di kubu mereka
positive,"yang punya keistimewaan menjadi perdana menteri paling tua di dunia, menjelaskan bahawa otot-otot akan merosot jika tidak digunakan"
positive,"Pemimpin harus dibentuk dan bukan dilahirkan, Kami tidak dilahirkan sebagai pemimpin tetapi dibentuk sebagai pemimpin kerana sistem pendidikan negara ini yang baik"
positive,Bahagian penguatkuasaan sentiasa menjalankan operasi penguatkuasaan dan pemeriksaan ke atas PATI iaitu pemegang E-Kad bagi memastikan mereka ini mempunyai pasport yang masih sah bagi tujuan Rehiring
negative,pengkritik Anwar dan Mahathir sentiasa menuduh Perdana Menteri hari ini memperkayakan anak-anaknya menggunakan kedudukan dan kontrak kerajaannya.
negative,berkemungkinan menagih perhatian pengundi dengan cara membeli bilangan penonton Facebook Live
negative,Jangan pilih wakil rakyat hanya tahu 'potong reben'
negative,tindakan guna logo 'makan diri'
positive,"Kerajaan Sabah peduli semua orang dan kita terus menyokong masyarakat Cina selama ini, termasuk melalui peruntukan tahunan untuk rumah ibadat dan sekolah aliran Cina"
positive,Terima kasih FELCRA dan kerajaan kerana menetapkan harga rumah yang jauh lebih murah berbanding harga pasaran
positive,Jadi kita perlu kaji semula perjanjian ini (dan) beri mereka lebih kuasa untuk memastikan pembangunan di Sabah dan Sarawak lebih meningkat
negative,Saya fikir Umno bukan lagi (tentang) Melayu
positive,Najib perlu mengambil langkah-langkah yang serius jika dia ikhlas bagi membetulkan kesilapannya itu
positive,Kerajaan terus sediakan yang terbaik untuk rakyat
negative,Perdana Menteri telah melepaskan peluang untuk bercakap benar kerana enggan menjelaskan kepada rakyat Malaysia secara adil dan telus berkaitan fakta sebenar skandal 1MDB yang melibatkan perbuatan jenayah beliau
positive,Kami bukan hendak berlumba dengan warga internet dan laskar papan kekunci
negative,BR1M pula impaknya kecil dan tidak disesuaikan dengan saiz keluarga dan ia secara tidak langsung menyumbang kepada perkembangan harga
positive,Sebelum ini saya selalu berkunjung ke kedai KR1M untuk membeli barangan asas dan keperluan harian kerana ia lebih murah walaupun kadangkala kita dapati ia tidak berjenama
negative,Negara-negara Asean nampaknya gagal merubah situasi yang melanda masyarakat Islam di Rakhine walaupun bukti genosid dengan pengakuan tentera Myanmar yang menemukan kubur mangsa etnik Rohingya namun tiada tindakan dilakukan kepada pihak terlibat
positive,Kita juga perlu pastikan Dun Jeram dan Bukit Melawati kita kekalkan selain merampas semula Dun Ijok.
positive,"Selaku Ketua Koordinator AMK Kelantan, saya beri jaminan kami akan berlapang dada dan menerima apa juga keputusan yang akan diambil pucuk pimpinan berhubung hasrat ini"
positive,"Walaupun tidak ada kerusi, hubungan kami dengan PAS baik sepanjang masa dan sangat rapat"
positive,Mereka ini merupakan aset penting yang tidak boleh disisihkan begitu sahaja
positive,bersatu dan perlu ada rasa kebergantungan yang tinggi antara satu sama lain
positive,"Dalam konteks PRU14, kami menyeru anak muda mengundi berdasarkan nilai-nilai positif."
positive,"Ia tidak boleh dijual beli,"
positive,"Idea penganjuran ini terbit daripada kesedaran bahawa isu dan persoalan yang melanda negara boleh diperbincangkan di kalangan bekas-bekas pelajar MCKK, walaupun mereka mempunyai fahaman politik yang berbeza."
positive,"Saya akan mencadangkan ketua pembangkang, Datuk Seri Dr Wan Azizah Wan Ismail yang akan memulakan perbahasan untuk membuat pindaan usul terima kasih kepada Agong dengan meminta kerajaan membuat tuntutan terhadap aset berkaitan 1MDB"
positive,"Bagaimanapun, jika kadar faedah itu dapat diturunkan, ia akan mengurangkan beban rakyat"
positive,Mungkin dia ketakutan kerana tuan politiknya berdepan ‘kematian politik’
positive,Israel datang juga bukan kerana kerajaan Malaysia tetapi untuk menghadiri WUF.
positive,"1MDB berulang kali menjelaskan bahawa walaupun ia mempunyai urusan perniagaan dengan Aabar BVI, 1MDB tidak mempunyai sebarang urusan perniagaan dengan Jho Low dan yang lebih penting, 1MDB bukanlah pihak dalam tuntutan sivil DoJ"
negative,"Kami kecewa dengan keputusan itu kerana ia melibatkan isu kepentingan awam,"
negative,Sekarang ini kalau pergi hospital ubat kena bayar sendiri.
negative,"Jentera PH lemah, PAS masih kuat, kalau Datuk Husam Musa lawan Datuk Takiyuddin Hassan (Yang Dipertua PAS Kota Bharu) pun Husam akan kalah walaupun dia bekas exco"
positive,"Kalau dah bersara dan tiada kaitan lagi dengan Felda, kami akan gunakan tindakan sivil ke atas mereka"
positive,"Memang beza sangat dulu dan sekarang, banyak bantuan dihulurkan kepada peneroka"
positive,"Kalau ada kerosakan, kita baikinya dari dalam."
positive,masih mengekalkan momentum positif pada kadar peratus berbanding unjuran peratus pada menurutnya pertumbuhan baik itu kebanyakannya disokong oleh penggunaan swasta yang kukuh di samping aktiviti ekonomi domestik yang baik
positive,"Pasir yang dikorek bukan untuk kerja-kerja penambakan laut di Teluk Muroh, Lumut"
positive,"Di samping itu, beliau juga memberikan dana jutaan ringgit untuk pembangunan luar bandar, menyediakan antara lain elektrik dan jalan raya untuk rakyat."
positive,Sebenarnya mereka ini perlu dibantu dari segi emosi dan mind set agar tidak berterusan hidup berpeleseran tanpa tujuan
negative,tidak memerlukan pembelot malah ia juga tidak merugikan parti
positive,Kemudahan dan kemajuan teknologi digital seharusnya dimanfaatkan untuk kebaikan
negative,Orang Melayu yang tidak relevan tidak tahu dunia sebenar.
positive,"“Kita (Muslimat) tak ada masalah dengan baiah, kerana dapat kukuhkan Pas di Kelantan."
positive,"Kita lihat bagaimana orang di sini terima Islam dengan kasih sayang, bersama kasih sayang, demi kasih sayang"
positive,Niat kami jelas dan tidak ada sebarang rasa kesal
negative,selain menjadikan warga bangladesh sebagai kambing hitam cybertrooper pembangkang turut memainkan persepsi politik dengan membuat tuduhan berlakunya blackout di beberapa pusat kiraan undi semasa proses kiraan dan didakwa menjadi punca kepada kemenangan bn
positive,Hal ini selaras dengan pendekatan wasatiyyah dalam Islam yang sudah menjadi dasar kerajaan
negative,"Beliau berkata media sosial sukar untuk dikawal selia, tetapi mudah dimanipulasi, justeru pengamal media harus mempunyai etika dalam menyampai dan menyalurkan maklumat."
positive,"Sekarang pesakit tak perlu bersesak, waktu menunggu jauh lebih singkat, kos rawatan pun serendah RM103."
positive,Kita bukan nak wujudkan suasana negatif dalam perkara ini  tapi atas kesedaran akar umbi kami berhak untuk bersuara
positive,kadar pertumbuhan hingga peratus tidak cukup untuk menampung kenaikan kos sara hidup dan membahagikan kekayaan negara
negative,"sekarang bukan sahaja tidak membantu rakyat, malah membebankan orang ramai dengan kenaikan harga barangan berterusan."
positive,Kerja-kerja naik taraf mengatasi masalah banjir dan masalah pencemaran air di Sungai Benut yang menjadi nadi utama bekalan air bersih sedang giat dilaksanakan.
positive,Turut dalam perancangan adalah menambah baik perkhidmatan bekalan air bersih melalui beberapa pendekatan yang sedang dirancang.
positive,Ini bukan petanda negara dalam masalah
positive,"Maka adalah suatu kekeliruan (Kalau tidak pun penipuan) untuk menuduh penubuhan badan seperti Jakim kononnya tidak berperlembagaan, sedangkan ia sesuai dengan peruntukan-peruntukan yang disebutkan kerajaan persekutuan"
positive,"Saya ingin sarankan supaya penumpang beli tiket awal, kerana sudah tahu tarikh perayaan. "
positive,Kita mempunyai struktur dan ikut apa yang dikehendaki oleh ROS
positive,"Saya harap Raymond dilepaskan supaya beliau boleh bertemu dengan anggota keluarga, terutamanya di tahun baru Cina ini"
positive,"Selain subsidi barang, terdapat subsidi elektrik dan tol supaya kenaikan kadar elektrik dan tol dapat dielakkan"
negative,Itu adalah tidak betul dan perlu diubah bagi mengelak lebih banyak kecederaan atau lebih buruk lagi menyebabkan maut dalam kalangan mangsa
negative,Setakat ini mereka belum memberikan jawapan kepada cadangan inkues
positive,"Dengan adanya platform pengundian dalam talian, pengundi boleh mengundi pada tarikh dan tempoh yang ditetapkan sahaja secara serentak"
positive,malaysia telah melalui tahun ekonomi terbaik pada di mana pasaran buruh lebih stabil dengan banyak pekerjaan wujud terutamanya pada separuh kedua tahun lalu namun kami menjangkakan perkara berkenaan akan sedikit perlahan tahun ini ujarnya
negative,pemerhati politik kapten abdul rahmat tun haniff berkata perkara itu tidak memeranjatkan dan lumrah setiap kali pru yang mana kali ini cybertrooper pembangkang akan mula mengitar semula dakwaan bagi meraih simpati pengundi dan mencipta stigma bahawa pru akan menjadi paling teruk dalam sejarah
positive,Pada masa yang sama ia juga akan memberikan mesej yang jelas bahawa kerajaan tidak akan berkompromi dengan apa-apa perkara yang boleh memudaratkan ketenteraman awam dan keselamatan negara.
negative,"Kebanyakan orang Cina yang kamu temui di sini akan beritahu kamu, kebimbangan mereka tentang isu yang melanda negara."
positive,kesimpulannya asean mesti jujur berani dan tegas demi keadilan dan hak asasi manusia
positive,menggunakan kebijaksanaan masing-masing dalam membuat pilihan
negative,"Walaupun pelbagai kempen dianjurkan sebelum ini, statistk kemalangan terus meningkat dengan purata 6,000 kematian direkodkan sepanjang 10 tahun lalu"
negative,Beliau menasihatkan agar pengundi muda tidak mudah terpedaya dengan strategi pembangkang yang memanipulasikan mereka dengan sifat keghairahan untuk melalukan perubahan.
negative,Ini akhirnya akan meruntuhkan keharmonian kaum yang telah dibina selama ini
positive,"Oleh itu, adalah penting untuk mengamalkan pendirian  tidak campur tangan"
positive,"Felda diarahkan mengambil tindakan tatatertib dan/atau undang-undang ke atas mereka yang dinamakan dalam laporan audit itu, yang didapati cuai dalam menjalankan tugas, salah nyata dan tidak menjaga kepentingan Felda dan FICSB"
negative,"Saya tak benarkan untuk dibawa keluar,"
negative,secara tidak langsung kerajaan sendiri menyedari bahawa ekonomi sebenar adalah tidak sebaik yang diuar-uarkan
positive,Orang Melayu kini lebih matang dan bijak berbanding ketika zaman beliau
positive,Kelewatan juga mungkin berpunca daripada ke­su­karan parti mencari calon-calon berwibawa dan boleh menang serta beberapa isu berbangkit pada saat-saat akhir.
negative,"tapi saya rasa tidak, saya rasa kali ini Melayu akan tolak kerajaan hari ini"
positive,secara umumnya banyak orang beranggapan nilai mata wang yang kukuh adalah baik dan begitulah sebaliknya kerana adalah murah untuk melancong ke eropah jika kita mempunyai mata wang yang kukuh berbanding mata wang euro misalnya atau murah untuk membeli produk-produk import
positive,Yayasan akan membantu menyediakan dana dan keperluan
positive,beliau teruja untuk menunaikan tanggungjawab mengundi walaupun tidak berapa sihat akibat penyakit semput dan masalah penglihatan.
negative,Harga tambang biasa Semenanjung ke Sabah dan Sarawak antara RM160 hingga boleh mencecah paling mahal RM800 di mana kajian Mavcom mendapati ia boleh naik sehingga lima kali ganda.
positive,"Jadi, sehingga kami menyelesaikan siasatan, kami menasihati orang ramai supaya berhati-hati"
positive,jadi apabila ahli ekonomi atau penganalisis yang mewakili kerajaan badan-badan pelaburan bank-bank dan broker saham memberi gambaran positif mengenai ekonomi kita haruslah berwaspada dan tidak menelan bulat-bulat
negative,Hairanlah demokrat palsu nak bendung berita palsu!
positive,Ia di bawah bidang kuasa kerajaan Persekutuan
positive,"Untuk pengembalian semula kertas undi pos yang telah ditanda, pengundi boleh mengembalikannya semula dengan menggunakan perkhidmatan mana-mana syarikat penghantaran, dan kos pengembalian semula itu adalah ditanggung sendiri oleh pengùndi pos terbabit"
negative,"Kalau mereka dibiarkan bertugas dengan keadaan tidak sihat, kesihatan mereka akan bertambah teruk kerana mereka tidak selesa dan ini akan menjejaskan produktiviti perkhidmatan awam"
positive,dibebaskan oleh mahkamah dengan ikat jamin
negative,"Ia mendakwa saya anti-Muslim dan anti-Islam serta merancang orang Cina memerintah Malaysia,"
positive,Usahanya itu membuatkan Johari diterima baik masyarakat setempat.
positive,Kita juga akan membantu pengguna jalan raya yang mengalami masalah serta halangan yang menyebabkan kesesakan di kawasan terbabit kerana ia juga boleh menjadi punca berlakunya kemalangan
positive,Peluang untuk membuat pilihan ini tidak boleh disia-siakan dan dalam konteks pemilihan kepemimpinan bagi menggerakkan sistem demokrasi
negative,"Tidak ada apa yang patut dibanggakan oleh perdana menteri kita, yang pernah dilabel sebagai menteri kewangan paling buruk di Asia pada tahun 2015, kerana peningkatan kecil dalam nilai ringgit sejak beberapa bulan kebelakangan ini"
negative,spekulasikejatuhan mata wang dalam sistem urus niaga adalah sesuatu yang biasa kecuali sesuatu mata wang itu diancam serangan penyangak mata wang seperti yang berlaku semasa krisis mata wang asia pada apabila banyak negara menjadi muflis akibat spekulasi mata wang oleh penyangak-penyangak mata wang yang mengejar keuntungan
positive,Sudah sampai masanya akta berita palsu yang dicadangkan oleh kerajaan disegerakan perlaksanaannya bagi memastikan imej negara dipulihkan demi kebaikan negara dan rakyat.
positive,Jadi sekarang masyarakat Cina harus menentukan masa depan yang mereka mahu
negative,persepsi politik yang dimainkan pembangkang setiap hari dalam media sosial termasuk kononnya kehadiran kira-kira warga bangladesh yang dibawa masuk ke dalam negara untuk menjadi pengundi hantu berjaya melemahkan gerak kerja kerajaan
positive,Kami bersetuju rundingan mesti mengambil kira semua faktor seperti dicadangkan oleh (Timbalan Presiden Warisan) Darell Leiking
positive,"Jika anda tidak gunakan otak anda, anda tidak berfikir, anda tidak selesaikan masalah, anda tidak membaca, anda tidak menulis, otak merosot dan anda jadi nyanyuk"
positive,"Ini juga dilakukan setelah penasihat kejuruteraan telah menyemak, memeriksa dan akhirnya membuat cadangan kepada kerajaan negeri, barulah jumlah itu dibayar"
negative,1MDB adalah satu pengkhianatan terhadap negara
negative,"Persoalannya, kenapa BN ingin memaksa pelajar sekolah untuk hadir ke program politik mereka. "
negative,maka bajet perlu memperincikan hal ini
positive,ini bagi mengelak calon berkenaan berdepan masalah selepas hari penamaan calon.
positive,"malah ada yang menyatakan kemungkinan tindakan atau tindak balas  perdagangan, termasuk merujukkanya ke Pertubuhan Perdagangan Dunia, bagi  menghalang EU daripada melaksanakan larangan minyak sawit untuk biofuel"
positive,Takkanlah kerajaan nak benarkan mereka mengundi
negative,Mulanya saya tidak berminat
negative,Janganlah terperdaya dan terhasut dengan ajakan pemimpin-pemimpin yang rakus kuasa serta sudah dikuasai dengan politik kebencian
positive,"Dianggarkan lebih 96,000 kenderaan bakal menikmati diskaun ini"
positive,"Jadi, dengan adanya buku ini akan menambah baik prosedur siasatan sekarang"
positive,"Sebab itu kenapa adalah penting untuk wartawan menonjolkan atau melihat isu-isu bandar dan tidak hanya menumpukan pada soal jenayah, politik atau kemalangan tetapi juga aspek kehidupan di bandar  secara holistik,"
positive,Kesediaan negara-negara ITRC untuk mematuhi kouta yang diperuntukkan adalah penting bagi memastikan mekanisme ini dapat memberikan impak positif terhadap harga pasaran getah asli global
negative,Kami berpendapat laporan seperti itu tidak beretika dan perasaan keluarga serta orang tersayang dalam penerbangan MH370 itu perlu dihormati
positive,Penyertaan Wan Saiful dijangka mampu meningkatkan lagi imej parti terutama memberi sumbangan idea
positive,dan di samping itu saya nak ucap tahniah kepada kepimpinan PNB sebelum ini
negative,Jika begitu kenapa Azalina tidak menepati kata-katanya bahawa rang undang-undang berita palsu akan digubal oleh jawatankuasa khas yang melibatkan Ahli Parlimen daripada kedua-dua belah  pihak
positive,"Untuk menjadi seorang pendakwah atau ulama holistik, kita perlu mempunyai kombinasi pelbagai aspek pengetahuan"
positive,Dahulu kami tidak percaya apabila orang cakap Dr Mahathir seorang diktator
positive,"Kita tak tipu, kita tubuh kerajaan atas undi yang kita terima daripada rakyat"
negative,"Integriti pilihan raya menghadapi risiko kerana SPR ditugaskan untuk memastikan akses, keselamatan dan penghantaran undi, yang nampaknya tidak begitu membimbangkan SPR"
negative,"Ekonomi Malaysia bergantung kepada nilai import yang tinggi seperti jentera dan teknologi dari EU, jadi perang perdagangan hanya akan merugikan kita"
positive,Kadang-kala pasar tani boleh dijadikan destinasi persinggahan bersama keluarga dan kerana itu saya bukan sekadar mahu pasar tani berada dalam keadaan bersih dan tersusun tapi juga mempunyai kepelbagaian produk
positive,Rakyat sekarang tidak bodoh nak kena tipu dengan janji-janji mereka
negative,semuanya tidak bertahan lama sebab dia tidak memberikan perkhidmatan dengan baik.
positive,Kita akan sentiasa bergabung antara satu sama lain
positive,"Pihak kami turut berharap kerajaan membina lebih banyak rumah mampu milik berharga kurang daripada RM150,000 serta pengecualian GST terhadap bahan binaan rumah pertama"
positive,"Kepada Rafizi, janganlah pusing daripada kedudukan yang satu ketika menyokong kebenaran, hendakkan ketelusan, benci kronisme, menyokong kepentingan awam"
positive,misalnya memastikan terlebih dahulu akurasi konten yang akan dibagikan mengklarifikasi kebenarannya memastikan manfaatnya baru kemudian menyebarkannya
positive,Sebenarnya ia tidak benar sama sekali
negative,mengaku bersalah atas kesalahan melakukan mudarat awam di Mahkamah Majistret
negative,"Beliau seorang pemimpin masyarakat, tetapi kenapa ditangkap sedemikian?"
negative,kerajaan tidak mampu melaksanakan penurunan harga petrol memandangkan jumlah subsidi yang bakal ditanggung akan meningkat.
positive,"Jika mereka sembunyikan, kami akan dedahkan"
negative,Ia tidak dilaksanakan kerana kami tidak menang PRU dan masih sebagai pembangkang
positive,Kita perlukan pemimpin berani dan bukan mereka yang takut membuat tuntutan bagi pihak rakyat kawasannya
positive,Parti-parti politik tidak wajar berasa bimbang dengan ketelusan proses pilihan raya sedia ada yang diamalkan di negara ini
positive,"Sejak 2013 hingga 2016, sebanyak RM235 juta telah diperuntukkan kepada semua mangsa banjir di seluruh negara."
negative,Murid-murid sekolah tahfiz dieksploitasi untuk menjual buku-buku agama dan mengutip derma daripada orang ramai
negative,malaysia dilaporkan mengalami kejatuhan nilai mata wang paling buruk dalam tempoh satu dekad berbanding negara-negara lain
positive,tidak ingin tergesa-gesa dalam pelantikan jawatan kerana sedar mengetuai KBS adalah satu tanggungjawab yang besar
positive,Sistem pendidikan kita terbuka
positive,Kerana itu pelbagai peluang pekerjaan dalam pelbagai bidang bakal wujud yang ia juga akan menarik orang luar bekerja di sini
positive,Kerajaan China melalui duta besarnya (di Malaysia) menyatakan komitmen mengimport minyak sawit (Malaysia) sekiranya negara Kesatuan Eropah (EU) tidak lagi mahu membeli minyak sawit dari Malaysi
positive,"Jangkaan awal, maahad ini akan siap dibina empat tahun dari sekarang, atau mungkin lebih awal bergantung kepada dana diterima"
positive,Rakyat Malaysia diminta sentiasa tenang dan mengikuti berita tempatan untuk mengetahui perkembangan terkini
positive,"Apa-apa majlis BN, mereka kena hadir."
negative,Kenapa apabila Amanah mahu bertanding melawan Umno dan PAS maka dikatakan membawa perpecahan kepada Melayu?
negative,beliau terkilan dan musykil apabila pembangkang meletakkan semua kegagalan ke atas bahunya
negative,GSPS yang diamalkan perlu difikirkan dalam setiap sudut supaya untuk elak situasi tidak membuahkan manfaat tetapi yang lebih teruk memberi kesan negatif kepada pelaksana GSPS tersebut
positive,"Orang tidak suka, tidak yakin dengan pembangkang tidak bermakna mereka tahu apa yang kita (Umno dan BN) lakukan"
positive,Tetapi awak tak boleh dakwa sesiapa menggunakannya kerana ia bukan undang-undang digubal Parlimen
positive,"Kenali mereka dalam erti kata sebenar, dan bukannya dalam rangka kerja satu rangka kerja, tetapi memahami, berinteraksi dan bekerja bersama secara aman dan harmoni"
positive,Jangan takut…saya datang sini hanya untuk berbual dengan orang Pekan
positive,Kerajaan berusaha menyelaraskan  harga khususnya untuk outlet di Sabah dan Sarawak
positive,Penyerahan bantuan hari ini adalah penterjemahan pelajar dan murid dari luar bandar juga perlu dilengkapi segala kemudahan.
positive,sebelum ini kerajaan pernah mengumumkan beberapa pakej rangsangan ekonomi bagi mengharungi krisis ekonomi dan kewangan serta ketidaktentuan ekonomi dunia
negative,Ada kementerian mempunyai dua menteri dan saya fikir ini membazir
positive,"Kita mesti ambil peluang dan pada masa sama, kita juga menggalakkan syarikat India melabur di negara kita supaya perdagangan di antara kedua-dua lebih seimbang"
positive,"Kita pastinya meletakkan calon yang 'bersih' dan diterima rakyat, untuk calon wanita... pastinya tiada diskriminasi gender dan dengan kredibiliti yang dibawa sebelum ini, kita yakin PKR dapat mengekalkan kemenangan kerusi itu"
positive,a-kerajaan mengulangi bahawa impak mdb ke atas ekonomi negara adalah sangat rendah kerana program rasionalisasi firma milik negara itu berjalan dengan baik
positive,"Kali ini, urusannya ringkas dan mudah, malah kebanyakan urusan boleh dilakukan secara dalam talian pada bila-bila masa dan di mana sahaja"
negative,"menarik taraf hidup rakyat dengan membaik pulih prasarana, kemudahan asas dan melahirkan modal insan sehingga Malaysia diberi pengiktirafan antarabangsa."
positive,"Penduduk kembali menjalankan aktiviti harian seperti biasa, malah ada dua pos kawalan pasukan keselamatan di Tanjung Labian dan Kampung Tanjung Batu yang sentiasa menjalankan rondaan dan pemantauan"
negative,selepas digantung susulan dakwaan mencabuli dasar syarikat dan dihukum 10 tahun larangan urus niaga di Singapura ekoran kesalahan berkaitan transaksi
negative,Walaupun wujudnya kemudahan rumah seperti Perumahan Penjawat Awam 1Malaysia (PPA1M) dan Perumahan Rakyat 1Malaysia (PR1MA) tetapi kumpulan berpendapatan 40 peratus terendah (B40) masih tidak mampu untuk memiliki rumah
positive,Ia merupakan usaha yang sangat dialu-alukan dan membawa impak baru dalam dunia perhotelan di negara ini
positive,"Jangan menentang bila BN buat, tetapi tiba-tiba kita buat "
negative,"Usahlah percaya wayang mereka ini (pembangkang) yang ingin menjadi hero, kononnya boleh bangunkan Kampung Baru dalam sekelip mata"
negative,pilihan raya umum akan tiba tidak lama lagi pembangkang kini sedang giat memutarbelitkan apa sahaja isu dalam mewujudkan persepsi negatif kepada kerajaan
positive,beliau berkata tohmahan tersebut juga tidak berasas kerana keluaran dalam negara kasar bagi suku ketiga tahun ini mencatat pertumbuhan peratus sebagaimana diumum perdana menteri datuk seri najib tun razak pada jumaat lalu
positive,"Jadi, apa yang dibuat, kita beri mereka jalankan tugas-tugas mudah dan bagi yang tidak boleh kerja, mereka perlu bersara awal"
positive,"Masalah mental ada yang boleh dirawati dan tidak serius kemungkinan berpunca daripada masalah terlalu berat yang dialami oleh guru itu sendiri, yang asalnya mereka tidak mempunyai masalah mental"
negative,"Suku ketiga, industri runcit Malaysia menguncup 1.1 peratus. Perniagaan hypermarket turun sebanyak lima peratus"
negative,Beliau berkata keputusan untuk membubarkan Parlimen esok tidak terlambat seperti didakwa oleh pembangkang kerana pilihan raya umum diadakan dua bulan lebih awal daripada yang diperlukan.
positive,(Felda) akan daftar balik tanah itu kepada nama kita.
positive,Saya dan Kementerian Pendidikan sentiasa menghargai pengorbanan guru
positive,Jadi inilah cara untuk maju ke hadapan dan kita tidak akan menoleh lagi
positive,Kerajaan teruskan apa telah dilaksanakan sebelum ini sahaja.
negative,"Begitu juga pelajar di luar negara, yang diberi larangan dan amaran tegas untuk tidak menghadiri program Bersih."
negative,perbuatan itu sentiasa menjadi isu besar dalam mana-mana parti politik dan terserahlah kepada kepimpinan tertinggi parti untuk memahami emosi dan kemahuan pengundi sebelum  membuat keputusan tentang pemilihan calon.
positive,Kita telah membuat lawatan dan pemeriksaan ke kilang tersebut sejurus kejadian yang menimpa mangsa dilaporkan
negative,"Saya bimbang kalau perkara ini dilambatkan, ia jejaskan masa pembinaan ECRL seperti yang kita janjikan."
negative,"Seperti yang kita tahu, emosi rakyat telah diapi-apikan oleh pembangkang dan pembangkang mahir dalam memecah belahkan rakyat di negara ini."
positive,Bila jadi menteri kabinet tak kisah apa-apa kementerian atau Jabatan Perdana Menteri yang penting kita jalan dan laksanakan kerja yang sama dengan menteri-menteri lain
positive,Kerajaan sedang meneliti bukan hanya desakan daripada NGO atau pemimpin pelbagai pihak tetapi juga berdasarkan tiga elemen penting dalam penubuhan RCI Isu Memali ini
negative,pihaknya akan menyerahkan surat pemecatan itu kepada anggota terbabit hari ini.
positive,"Bagaimanapun, peruntukkan itu amat diperlukan dan projek pembangunan bukan sahaja berlaku pada zaman Mahahtir, kerana Najib juga memainkan peranan menaikkan Langkawi"
negative,"Mereka juga sudah berani mencabar institusi negara, serta ingin mengubah perlembagaan negara"
positive,Apa dilakukan kerajaan pada masa ini adalah untuk terus meningkatkan kemajuan bidang pendidikan dan proses pembelajaran dan pengajaran
positive,"Saya berharap tuan puan dapat tolong, mudah-mudahan kita dapat jadikan Malaysia semakin indah dan lagi hebat serta lagi baik"
positive,"Ada kemungkinan besar yang 'makan dedak' dan wujud tali barut Tun Mahathir Mohamad (Pengerusi Bersatu) dalam ROS dan jika ada, siasat segera individu ini"
positive,"Beliau sendiri meminta agar isu ini tidak lagi dipolemikkan dan berlandaskan alasan itu, kita terima dengan cukup berlapang dada"
positive,"Dalam kebersamaan kita untuk ambil alih Selangor pastikan jangan ada kecacatan sekalipun, kita mesti memastikan sifar kecacatan, kita mesti bersatu padu, kita mesti bersepakat  dan bekerja sebagai satu pasukan di bawah  BN, itu penting"
negative,Harga rumah yang semakin tinggi juga menyebabkan golongan muda terhimpit
positive,Itu pun kita iktiraf sama ada mereka berada di negara ini sebelum merdeka ataupun selepas merdeka.
positive,"Namun saya tegaskan kes berkenaan tiada kaitan dengan kerajaan negeri, malah kita tidak pernah masuk campur kerana hak pengurniaan dan penarikan pingat adalah hak keistimewaan baginda sultan"
positive,Kita tidak mementingkan sama ada pusat Tahfiz itu berdaftar atau tidak..yang penting adalah keselamatan pelajar
negative,Kerajaan Selangor hari ini hanya tahu menghukum dengan mendenda 20 sen. 
positive,"Instrumennya ataupun vehicle antara yang paling penting adalah PNB sebab itulah hari ini bila kita sambut 40 tahun PNB, kita juga sambut kejayaan dasar-dasar induk kerajaan untuk tentukan masyarakat yang lebih adil dan saksama (kekayaan) dan kemudian untuk melihat kepada sebuah masyarakat lebih kukuh dan bersatu padu"
positive,Kita semakin hampir dengan sasaran ini
negative,Ibunya sedang sakit dan sudah lama tidak melihatnya
positive,"Logo ini menandakan produk berkenaan halal, selamat dan bersih digunakan umat Islam sekali gus dapat membantu usahawan kecil untuk memasarkan produk mereka"
negative,"Jawapan ini tidak boleh diterima memandangkan walaupun SPR ada kuasa menghukum seseorang individu yang memberi maklumat palsu dalam kad pengenalannya, namun ini adalah tanggungjawab polis untuk menyiasat perkara ini dibawah Kanun Keseksaan"
